contract number,client enterprise,contract date
CSE0000049,BMW,2018-8-11
CSE0000050,Fortis,2020-1-4
CSE0000051,General Electric,2020-4-1
CSE0000052,Sinopec,2018-2-1
CSE0000053,J.C. Penney,2023-10-5
CSE0000054,BNP Paribas,2020-5-23
CSE0000055,Verizon Communications,2024-12-23
CSE0000056,Allianz,2023-11-8
CSE0000057,SK,2017-2-4
CSE0000058,Philip Morris,2021-10-31
CSE0000059,Tesco,2023-11-20
CSE0000060,State Farm Insurance Cos.,2024-6-28
CSE0000061,Sinopec,2016-8-4
CSE0000062,Carrefour,2016-10-18
CSE0000063,Dynegy,2023-2-16
CSE0000064,Chengdu AIG,2024-1-27
CSE0000065,Cardinal Health,2020-1-22
CSE0000066,Siemens,2017-4-20
CSE0000067,OPPO,2018-7-8
CSE0000068,HypoVereinsbank,2020-3-13
CSE0000069,J.C. Penney,2023-7-12
CSE0000070,Industrial and Commercial Bank of China,2016-2-8
CSE0000071,Ping An Insurance (Group) Company Of China,2021-10-30
CSE0000072,Tencent,2023-6-1
CSE0000073,Nippon Telegraph & Telephone,2017-4-21
CSE0000074,Honda Motor,2021-8-15
CSE0000075,Berkshire Hathaway,2022-10-5
CSE0000076,American International Group,2017-10-1
CSE0000077,American International Group,2021-9-27
CSE0000078,Ping An Insurance (Group) Company Of China,2020-11-20
CSE0000079,Unilever,2018-12-11
CSE0000080,Motorola,2023-9-29
CSE0000081,Hitachi,2018-3-12
CSE0000082,Fannie Mae,2016-7-30
CSE0000083,China Petroleum,2018-8-19
CSE0000084,Royal Bank of Scotland,2021-10-17
CSE0000085,Baidu,2022-7-23
CSE0000086,Intel,2021-1-3
CSE0000087,Bilibili,2020-6-26
CSE0000088,Assicurazioni Generali,2023-8-19
CSE0000089,Conoco,2018-7-14
CSE0000090,Future Bright Group,2019-12-18
CSE0000091,China Construction Bank,2024-12-18
CSE0000092,Munich Re Group,2017-9-9
CSE0000093,Kmart,2018-11-22
CSE0000094,SBC Communications,2019-2-16
CSE0000095,HSBC Holdings,2023-12-14
CSE0000096,China Petroleum,2022-12-2
CSE0000097,MetLife,2019-3-30
CSE0000098,Foxconn,2023-4-10
CSE0000099,Bank of America Corp.,2023-7-27
CSE0000100,Pemex,2023-3-26
CSE0000101,Suez,2022-11-27
CSE0000102,Koninklijke Ahold,2023-8-3
CSE0000103,Alcatel,2017-10-12
CSE0000104,CHOW TAI FOOK,2023-12-5
CSE0000105,Munich Re Group,2021-1-17
CSE0000106,China Petroleum,2017-11-12
CSE0000107,Fujitsu,2016-6-11
CSE0000108,Philip Morris,2020-12-21
CSE0000109,Target,2020-3-29
CSE0000110,Electricite De France,2021-8-7
CSE0000111,TIAA-CREF,2016-1-26
CSE0000112,Electricite De France,2018-8-1
CSE0000113,J.P. Morgan Chase,2025-1-3
CSE0000114,Koninklijke Ahold,2017-5-9
CSE0000115,Santander Central Hispano Group,2021-12-24
CSE0000116,Foxconn,2023-10-22
CSE0000117,Freddie Mac,2024-7-22
CSE0000118,Ingram Micro,2021-6-11
CSE0000119,NEC,2017-1-7
CSE0000120,Delphi Automotive Systems,2025-1-5
CSE0000121,Pemex,2025-1-23
CSE0000122,MetLife,2020-4-17
CSE0000123,Lucent Technologies,2025-1-23
CSE0000124,General Electric,2020-11-6
CSE0000125,Vivendi Universal,2018-9-28
CSE0000126,China Petroleum,2024-6-18
CSE0000127,J.C. Penney,2022-6-23
CSE0000128,Citigroup,2020-8-20
CSE0000129,Dai-ichi Mutual Life Insurance,2021-7-24
CSE0000130,China Construction Bank,2022-5-30
CSE0000131,Morgan Stanley Dean Witter,2022-7-12
CSE0000132,Nippon Life Insurance,2019-6-30
CSE0000133,Thyssen Krupp,2020-7-26
CSE0000134,Sears Roebuck,2016-3-20
CSE0000135,MiHoYo,2020-7-5
CSE0000136,Wal-Mart Stores,2018-4-17
CSE0000137,Bilibili,2018-12-21
CSE0000138,Mizuho Holdings,2020-11-11
CSE0000139,Compaq Computer,2021-7-8
CSE0000140,Carrefour,2021-2-8
CSE0000141,E. ON,2020-12-24
CSE0000142,Kmart,2019-7-6
CSE0000143,Nortel Networks,2020-7-1
CSE0000144,Samsung,2024-1-19
CSE0000145,Intl. Business Machines,2023-7-8
CSE0000146,Electricite De France,2021-7-30
CSE0000147,Boeing,2017-4-26
CSE0000148,Conoco,2017-8-28
CSE0000149,Mitsui,2021-10-17
CSE0000150,France Tижlижcom,2023-7-13
CSE0000151,Munich Re Group,2020-6-25
CSE0000152,ABN AMRO Holding,2022-10-14
CSE0000153,Merck,2017-2-6
CSE0000154,Unilever,2018-12-15
CSE0000155,Total Fina Elf,2017-9-7
CSE0000156,Nestlиж,2022-3-1
CSE0000157,Nippon Life Insurance,2018-8-29
CSE0000158,Ping An Insurance (Group) Company Of China,2021-5-30
CSE0000159,E.I. du Pont de Nemours,2019-8-27
CSE0000160,Itochu,2018-7-24
CSE0000161,Samsung,2021-8-3
CSE0000162,Toyota Motor,2023-7-17
CSE0000163,Enron,2017-8-10
CSE0000164,Sears Roebuck,2023-12-18
CSE0000165,Toyota Motor,2023-10-28
CSE0000166,E.I. du Pont de Nemours,2024-2-24
CSE0000167,Netease,2024-4-24
CSE0000168,BMW,2016-10-29
CSE0000169,Thyssen Krupp,2018-5-17
CSE0000170,Hewlett-Packard,2021-3-10
CSE0000171,Repsol YPF,2018-2-12
CSE0000172,Costco Wholesale,2016-1-20
CSE0000173,MetLife,2017-10-13
CSE0000174,OPPO,2023-7-4
CSE0000175,American International Group,2019-3-26
CSE0000176,Volkswagen,2017-12-23
CSE0000177,Credit Suisse,2019-4-3
CSE0000178,Wal-Mart Stores,2018-7-4
CSE0000179,Mitsubishi Motors,2024-1-3
CSE0000180,PDVSA,2017-3-14
CSE0000181,China Electronics Technology Group Corporation,2024-3-3
CSE0000182,BT,2020-7-6
CSE0000183,Merck,2018-7-24
CSE0000184,Future Bright Group,2016-11-9
CSE0000185,Ford Motor,2017-6-13
CSE0000186,Pfizer,2017-12-14
CSE0000187,Vivendi Universal,2017-4-27
CSE0000188,Peugeot,2022-10-15
CSE0000189,Costco Wholesale,2017-11-13
CSE0000190,Samsung,2021-2-6
CSE0000191,BT,2022-2-21
CSE0000192,Toshiba,2023-2-2
CSE0000193,Vivendi Universal,2018-6-21
CSE0000194,WorldCom,2025-3-24
CSE0000195,Tokyo Electric Power,2021-9-26
CSE0000196,TIAA-CREF,2024-5-21
CSE0000197,Target,2018-5-25
CSE0000198,Robert Bosch,2018-2-10
CSE0000199,E.I. du Pont de Nemours,2020-7-22
CSE0000200,MetLife,2018-8-16
CSE0000201,Electricite De France,2024-9-28
CSE0000202,Renault,2024-5-3
CSE0000203,Repsol YPF,2016-6-24
CSE0000204,Ping An Insurance (Group) Company Of China,2019-7-21
CSE0000205,Honda Motor,2019-3-10
CSE0000206,DaimlerChrysler,2022-1-9
CSE0000207,Morgan Stanley Dean Witter,2019-7-21
CSE0000208,NEC,2024-6-29
CSE0000209,Carrefour,2016-2-20
CSE0000210,Chevron,2020-8-23
CSE0000211,Cardinal Health,2017-5-21
CSE0000212,Morgan Stanley Dean Witter,2019-1-26
CSE0000213,Fannie Mae,2017-11-16
CSE0000214,Industrial and Commercial Bank of China,2016-7-23
CSE0000215,Crижdit Agricole,2020-3-9
CSE0000216,Samsung Electronics,2016-3-13
CSE0000217,Duke Energy,2021-12-28
CSE0000218,MiHoYo,2023-12-11
CSE0000219,Nissan Motor,2022-6-30
CSE0000220,WorldCom,2018-10-4
CSE0000221,Alcatel,2021-6-17
CSE0000222,Wal-Mart Stores,2024-12-27
CSE0000223,Bank Of China,2021-5-15
CSE0000224,Verizon Communications,2023-12-21
CSE0000225,BMW,2022-5-8
CSE0000226,China Merchants Bank,2024-7-23
CSE0000227,Hitachi,2023-8-18
CSE0000228,Tokyo Electric Power,2017-5-16
CSE0000229,Sina,2017-3-15
CSE0000230,Honda Motor,2022-3-17
CSE0000231,Seng Fung,2022-3-5
CSE0000232,China Merchants Bank,2019-9-2
CSE0000233,J.P. Morgan Chase,2019-8-26
CSE0000234,Deutsche Telekom,2020-10-19
CSE0000235,Matsushita Electric Industrial,2021-6-9
CSE0000236,Marubeni,2019-11-18
CSE0000237,AXA,2023-12-11
CSE0000238,Nestlиж,2020-7-26
CSE0000239,Taiwan Semiconductor Manufacturing Company,2016-6-25
CSE0000240,American International Group,2021-3-5
CSE0000241,United Parcel Service,2022-4-28
CSE0000242,Volkswagen,2023-11-7
CSE0000243,Royal Bank of Scotland,2023-5-26
CSE0000244,Intl. Business Machines,2016-2-18
CSE0000245,Koninklijke Ahold,2023-2-17
CSE0000246,Sumitomo Life Insurance,2020-3-29
CSE0000247,Verizon Communications,2021-6-5
CSE0000248,UBS,2021-9-13
CSE0000249,TIAA-CREF,2020-4-23
CSE0000250,Delphi Automotive Systems,2017-9-2
CSE0000251,Berkshire Hathaway,2016-2-16
CSE0000252,Huawei,2020-8-17
CSE0000253,Nissan Motor,2017-7-13
CSE0000254,Bank of America Corp.,2024-8-14
CSE0000255,Albertson's,2017-11-10
CSE0000256,HSBC Holdings,2019-7-31
CSE0000257,Delphi Automotive Systems,2020-6-17
CSE0000258,Unilever,2016-11-20
CSE0000259,Siemens,2021-8-21
CSE0000260,BMW,2019-4-17
CSE0000261,Sony,2021-6-15
CSE0000262,Lucent Technologies,2024-4-8
CSE0000263,Home Depot,2016-2-9
CSE0000264,United Parcel Service,2019-8-23
CSE0000265,Wal-Mart Stores,2022-8-6
CSE0000266,Total Fina Elf,2019-12-31
CSE0000267,Citigroup,2016-6-27
CSE0000268,Merrill Lynch,2018-10-6
CSE0000269,China Construction Bank,2017-11-16
CSE0000270,Morgan Stanley Dean Witter,2016-12-9
CSE0000271,WorldCom,2020-3-9
CSE0000272,Assicurazioni Generali,2017-1-29
CSE0000273,AXA,2021-9-24
CSE0000274,Zurich Financial Services,2021-1-10
CSE0000275,Zurich Financial Services,2021-12-30
CSE0000276,Home Depot,2020-5-10
CSE0000277,Dynegy,2017-4-17
CSE0000278,Hitachi,2023-7-20
CSE0000279,HSBC Holdings,2023-12-4
CSE0000280,Samsung,2016-1-28
CSE0000281,Bank of America Corp.,2021-10-27
CSE0000282,BT,2020-5-10
CSE0000283,Sinopec,2019-12-21
CSE0000284,Munich Re Group,2017-11-20
CSE0000285,American International Group,2016-10-2
CSE0000286,J.C. Penney,2022-12-30
CSE0000287,Santander Central Hispano Group,2016-4-8
CSE0000288,AT&T,2023-10-19
CSE0000289,Intl. Business Machines,2020-1-25
CSE0000290,Intel,2021-2-18
CSE0000291,Nortel Networks,2020-6-13
CSE0000292,Foxconn,2024-10-2
CSE0000293,Meituan,2024-11-22
CSE0000294,Pfizer,2022-9-10
CSE0000295,American International Group,2020-5-26
CSE0000296,Future Bright Group,2019-7-11
CSE0000297,L.M. Ericsson,2021-11-17
CSE0000298,Chengdu AIG,2016-4-10
CSE0000299,Hewlett-Packard,2016-7-28
CSE0000300,Chengdu AIG,2022-10-1
CSE0000301,Enron,2024-5-23
CSE0000302,BNP Paribas,2019-6-10
CSE0000303,Zurich Financial Services,2023-9-28
CSE0000304,Tokyo Electric Power,2018-11-22
CSE0000305,MiHoYo,2019-1-14
CSE0000306,PDVSA,2018-2-18
CSE0000307,Alibaba,2024-12-6
CSE0000308,Intel,2016-5-2
CSE0000309,BP,2024-3-23
CSE0000310,McKesson HBOC,2023-9-17
CSE0000311,CHOW TAI FOOK,2019-9-17
CSE0000312,Carrefour,2018-7-17
CSE0000313,MetLife,2022-4-23
CSE0000314,Mizuho Holdings,2022-6-19
CSE0000315,China North Industries Group Corporation,2017-4-14
CSE0000316,BASF,2021-5-8
CSE0000317,BNP Paribas,2021-3-9
CSE0000318,Industrial and Commercial Bank of China,2017-4-15
CSE0000319,Toshiba,2017-3-25
CSE0000320,Morgan Stanley Dean Witter,2022-2-16
CSE0000321,Duke Energy,2025-1-2
CSE0000322,China Petroleum,2021-6-1
CSE0000323,Fannie Mae,2023-7-3
CSE0000324,Ing Group,2021-12-30
CSE0000325,BMW,2018-6-17
CSE0000326,SK,2023-5-7
CSE0000327,Morgan Stanley Dean Witter,2020-4-20
CSE0000328,Ping An Insurance (Group) Company Of China,2024-10-20
CSE0000329,State Power Corporation,2018-4-13
CSE0000330,Ingram Micro,2016-10-13
CSE0000331,ENI,2020-3-19
CSE0000332,Pemex,2022-9-28
CSE0000333,Thyssen Krupp,2016-1-27
CSE0000334,Siemens,2021-1-10
CSE0000335,HypoVereinsbank,2023-7-9
CSE0000336,Exxon Mobil,2020-12-19
CSE0000337,Ing Group,2022-4-14
CSE0000338,Albertson's,2019-8-21
CSE0000339,Mitsubishi Motors,2023-2-13
CSE0000340,Sony,2020-11-11
CSE0000341,China Construction Bank,2021-7-12
CSE0000342,L.M. Ericsson,2018-7-13
CSE0000343,Agricultural Bank of China,2020-1-4
CSE0000344,France Tижlижcom,2019-12-11
CSE0000345,State Farm Insurance Cos.,2017-5-1
CSE0000346,Kmart,2024-7-3
CSE0000347,Seng Fung,2017-8-18
CSE0000348,HypoVereinsbank,2018-8-31
CSE0000349,Dynegy,2023-5-27
CSE0000350,Intel,2024-1-20
CSE0000351,Texaco,2016-5-23
CSE0000352,Target,2016-12-14
CSE0000353,Texaco,2021-12-6
CSE0000354,USX,2018-10-14
CSE0000355,MetLife,2016-2-25
CSE0000356,Huawei,2018-11-1
CSE0000357,Alcatel,2017-10-10
CSE0000358,Pemex,2016-7-6
CSE0000359,MiHoYo,2018-5-18
CSE0000360,DaimlerChrysler,2024-6-8
CSE0000361,McKesson HBOC,2016-2-3
CSE0000362,Agricultural Bank of China,2023-3-14
CSE0000363,Compaq Computer,2020-3-30
CSE0000364,McKesson HBOC,2016-5-3
CSE0000365,Koninklijke Ahold,2017-5-6
CSE0000366,Exxon Mobil,2018-8-23
CSE0000367,China Petroleum,2022-2-4
CSE0000368,Future Bright Group,2018-3-21
CSE0000369,Dell Computer,2019-11-27
CSE0000370,Toyota Motor,2018-1-3
CSE0000371,Nippon Telegraph & Telephone,2019-5-26
CSE0000372,AT&T,2017-10-7
CSE0000373,L.M. Ericsson,2016-4-4
CSE0000374,Ford Motor,2017-11-22
CSE0000375,Robert Bosch,2022-12-6
CSE0000376,Bank of America Corp.,2022-2-4
CSE0000377,Pfizer,2019-7-2
CSE0000378,Bank of America Corp.,2020-5-30
CSE0000379,Nippon Telegraph & Telephone,2016-2-14
CSE0000380,Procter & Gamble,2020-11-5
CSE0000381,Safeway,2018-1-13
CSE0000382,Nissan Motor,2022-11-11
CSE0000383,Costco Wholesale,2020-6-10
CSE0000384,Motorola,2021-6-17
CSE0000385,Alcatel,2024-6-20
CSE0000386,Suez,2018-10-1
CSE0000387,Deutsche Post,2018-12-31
CSE0000388,Sumitomo,2022-5-23
CSE0000389,Siemens,2018-8-20
CSE0000390,Intl. Business Machines,2023-5-11
CSE0000391,Xiaomi,2022-10-1
CSE0000392,Ingram Micro,2016-10-15
CSE0000393,General Electric,2022-4-30
CSE0000394,Delphi Automotive Systems,2022-6-20
CSE0000395,BASF,2021-8-24
CSE0000396,China Merchants Bank,2018-9-9
CSE0000397,Conoco,2022-2-26
CSE0000398,Allstate,2020-6-24
CSE0000399,Thyssen Krupp,2019-5-31
CSE0000400,U.S. Postal Service,2023-3-13
CSE0000401,Boeing,2016-8-23
CSE0000402,State Farm Insurance Cos.,2021-11-27
CSE0000403,France Tижlижcom,2021-10-30
CSE0000404,Royal Bank of Scotland,2022-3-13
CSE0000405,PDVSA,2016-11-30
CSE0000406,Mizuho Holdings,2023-7-29
CSE0000407,Nissan Motor,2024-1-17
CSE0000408,Sinopec,2025-2-28
CSE0000409,Merrill Lynch,2018-12-11
CSE0000410,State Farm Insurance Cos.,2017-9-18
CSE0000411,Merck,2018-9-16
CSE0000412,Fannie Mae,2020-11-24
CSE0000413,Deutsche Telekom,2020-9-15
CSE0000414,Intel,2017-12-18
CSE0000415,Mitsui,2024-2-6
CSE0000416,Mitsubishi Motors,2022-2-10
CSE0000417,Reliant Energy,2023-4-13
CSE0000418,Freddie Mac,2022-5-8
CSE0000419,Berkshire Hathaway,2019-8-10
CSE0000420,Future Bright Group,2017-7-14
CSE0000421,Hitachi,2024-9-8
CSE0000422,Deutsche Telekom,2021-12-31
CSE0000423,Sears Roebuck,2021-10-10
CSE0000424,Johnson & Johnson,2016-5-3
CSE0000425,Hewlett-Packard,2023-2-25
CSE0000426,DaimlerChrysler,2022-7-26
CSE0000427,ENI,2016-5-22
CSE0000428,Ing Group,2019-6-2
CSE0000429,Sumitomo,2020-12-3
CSE0000430,Bilibili,2019-6-8
CSE0000431,Conoco,2018-8-5
CSE0000432,Conoco,2021-2-13
CSE0000433,Mitsubishi Electric,2018-3-14
CSE0000434,Chevron,2018-1-15
CSE0000435,Boeing,2020-8-14
CSE0000436,Hang Seng Bank Limited,2022-3-7
CSE0000437,Cardinal Health,2023-1-25
CSE0000438,Koninklijke Ahold,2016-3-28
CSE0000439,Netease,2024-1-6
CSE0000440,Assicurazioni Generali,2025-2-5
CSE0000441,TIAA-CREF,2017-9-12
CSE0000442,Fannie Mae,2021-1-6
CSE0000443,Costco Wholesale,2019-4-6
CSE0000444,China Merchants Bank,2016-8-19
CSE0000445,China Merchants Bank,2021-12-31
CSE0000446,Vivendi Universal,2020-7-14
CSE0000447,Merrill Lynch,2018-7-11
CSE0000448,Mizuho Holdings,2018-5-7
CSE0000449,Tesco,2023-8-8
CSE0000450,Dai-ichi Mutual Life Insurance,2018-8-28
CSE0000451,J.C. Penney,2023-10-31
CSE0000452,Nissan Motor,2018-9-20
CSE0000453,Allianz,2022-9-30
CSE0000454,Hyundai,2025-2-17
CSE0000455,Sina,2023-12-23
CSE0000456,Credit Suisse,2025-2-3
CSE0000457,Royal Bank of Scotland,2021-7-5
CSE0000458,Albertson's,2016-1-13
CSE0000459,Foxconn,2024-8-25
CSE0000460,Fortis,2018-2-15
CSE0000461,Samsung Electronics,2022-1-16
CSE0000462,China Merchants Bank,2019-4-9
CSE0000463,BNP Paribas,2018-2-11
CSE0000464,Sumitomo,2020-1-11
CSE0000465,Home Depot,2018-6-16
CSE0000466,Nippon Life Insurance,2021-6-13
CSE0000467,USX,2024-4-26
CSE0000468,Thyssen Krupp,2018-3-22
CSE0000469,Costco Wholesale,2019-11-26
CSE0000470,BP,2017-2-9
CSE0000471,Prudential,2025-1-13
CSE0000472,Zurich Financial Services,2017-3-26
CSE0000473,Matsushita Electric Industrial,2024-7-30
CSE0000474,Nissan Motor,2021-2-22
CSE0000475,Allstate,2021-6-20
CSE0000476,Tesco,2021-9-1
CSE0000477,Ford Motor,2023-3-26
CSE0000478,Sumitomo Life Insurance,2019-9-24
CSE0000479,Chevron,2022-3-17
CSE0000480,Merrill Lynch,2020-9-25
CSE0000481,Exxon Mobil,2017-3-14
CSE0000482,General Electric,2024-5-21
CSE0000483,Crижdit Agricole,2024-1-16
CSE0000484,Merrill Lynch,2018-10-28
CSE0000485,Honda Motor,2023-9-25
CSE0000486,SK,2020-12-21
CSE0000487,Meiji Life Insurance,2023-9-9
CSE0000488,Pfizer,2024-8-13
CSE0000489,Target,2021-8-23
CSE0000490,Carrefour,2024-8-6
CSE0000491,Seng Fung,2018-4-3
CSE0000492,Matsushita Electric Industrial,2022-11-26
CSE0000493,General Electric,2022-5-14
CSE0000494,MetLife,2016-8-20
CSE0000495,Robert Bosch,2018-2-1
CSE0000496,Assicurazioni Generali,2017-5-20
CSE0000497,Baidu,2016-4-11
CSE0000498,Repsol YPF,2018-5-4
CSE0000499,Sony,2024-9-6
CSE0000500,Vivendi Universal,2020-6-9
CSE0000501,Ford Motor,2016-2-4
CSE0000502,Ingram Micro,2024-10-27
CSE0000503,Bank of America Corp.,2016-12-31
CSE0000504,Royal Dutch-Shell Group,2023-1-4
CSE0000505,Renault,2023-6-15
CSE0000506,Sumitomo Life Insurance,2021-5-7
CSE0000507,Samsung,2021-12-14
CSE0000508,Deutsche Bank,2024-11-8
CSE0000509,Ingram Micro,2018-2-22
CSE0000510,Munich Re Group,2022-5-23
CSE0000511,Verizon Communications,2017-9-3
CSE0000512,Chevron,2019-2-2
CSE0000513,Matsushita Electric Industrial,2020-2-17
CSE0000514,Deutsche Telekom,2018-12-18
CSE0000515,Tencent,2021-8-8
CSE0000516,Nippon Life Insurance,2019-2-16
CSE0000517,CHOW TAI FOOK,2021-3-26
CSE0000518,Taiwan Semiconductor Manufacturing Company,2018-7-23
CSE0000519,OPPO,2017-8-24
CSE0000520,Kmart,2017-4-18
CSE0000521,Samsung Electronics,2016-8-23
CSE0000522,Merck,2024-11-9
CSE0000523,Total Fina Elf,2019-11-25
CSE0000524,BT,2025-3-12
CSE0000525,Philip Morris,2016-10-12
CSE0000526,PDVSA,2024-9-2
CSE0000527,MetLife,2016-9-5
CSE0000528,HSBC Holdings,2023-11-7
CSE0000529,BASF,2020-12-27
CSE0000530,Total Fina Elf,2017-10-4
CSE0000531,Volkswagen,2019-12-21
CSE0000532,Texaco,2018-1-9
CSE0000533,Albertson's,2022-11-6
CSE0000534,Fujitsu,2022-10-6
CSE0000535,Deutsche Post,2017-1-3
CSE0000536,Unilever,2020-1-28
CSE0000537,ENI,2016-11-1
CSE0000538,Royal Dutch-Shell Group,2022-1-20
CSE0000539,Meiji Life Insurance,2022-1-2
CSE0000540,Mitsubishi Motors,2018-7-8
CSE0000541,HSBC Holdings,2019-11-7
CSE0000542,Enron,2020-8-28
CSE0000543,USX,2018-12-7
CSE0000544,Kmart,2020-1-4
CSE0000545,China Merchants Bank,2017-12-11
CSE0000546,CHOW TAI FOOK,2018-10-10
CSE0000547,Procter & Gamble,2025-3-20
CSE0000548,Royal Dutch-Shell Group,2024-12-30
CSE0000549,Tesco,2019-12-27
CSE0000550,Metro,2018-9-25
CSE0000551,Sumitomo,2020-1-18
CSE0000552,Volkswagen,2022-6-20
CSE0000553,Thyssen Krupp,2020-10-10
CSE0000554,Meituan,2016-10-23
CSE0000555,WorldCom,2022-11-6
CSE0000556,Nissho Iwai,2021-6-17
CSE0000557,Samsung Electronics,2017-2-6
CSE0000558,BMW,2020-9-4
CSE0000559,Alcatel,2021-2-23
CSE0000560,Duke Energy,2024-6-18
CSE0000561,Sumitomo,2020-5-26
CSE0000562,Duke Energy,2019-6-3
CSE0000563,Cardinal Health,2017-2-9
CSE0000564,Motorola,2019-9-11
CSE0000565,Allianz,2019-2-25
CSE0000566,Meituan,2021-4-23
CSE0000567,State Power Corporation,2021-1-30
CSE0000568,China North Industries Group Corporation,2021-2-25
CSE0000569,Alibaba,2019-4-13
CSE0000570,Ford Motor,2019-10-11
CSE0000571,SK,2022-9-2
CSE0000572,Future Bright Group,2017-10-12
CSE0000573,Mitsui,2019-7-9
CSE0000574,Carrefour,2020-7-1
CSE0000575,AT&T,2019-9-11
CSE0000576,WorldCom,2017-8-21
CSE0000577,China Petroleum,2018-7-14
CSE0000578,Deutsche Post,2019-12-27
CSE0000579,Kroger,2022-7-15
CSE0000580,E.I. du Pont de Nemours,2024-7-16
CSE0000581,Sinopec,2020-5-19
CSE0000582,Hitachi,2022-6-21
CSE0000583,CHOW TAI FOOK,2017-10-14
CSE0000584,Berkshire Hathaway,2016-12-27
CSE0000585,China North Industries Group Corporation,2019-12-23
CSE0000586,J.C. Penney,2022-2-28
CSE0000587,Fortis,2017-3-24
CSE0000588,Duke Energy,2019-12-29
CSE0000589,Kroger,2021-8-20
CSE0000590,ENI,2017-4-14
CSE0000591,Duke Energy,2020-6-4
CSE0000592,Sumitomo,2019-10-15
CSE0000593,Ford Motor,2021-11-4
CSE0000594,Royal Philips Electronics,2016-4-19
CSE0000595,J.C. Penney,2019-10-5
CSE0000596,Fujitsu,2021-8-3
CSE0000597,USX,2018-8-15
CSE0000598,CHOW TAI FOOK,2020-2-9
CSE0000599,Fannie Mae,2018-5-18
CSE0000600,Procter & Gamble,2018-3-11
CSE0000601,Credit Suisse,2020-10-16
CSE0000602,China Electronics Technology Group Corporation,2021-2-28
CSE0000603,Duke Energy,2023-4-15
CSE0000604,General Motors,2023-11-17
CSE0000605,AT&T,2022-7-20
CSE0000606,Toshiba,2023-9-19
CSE0000607,Xiaomi,2019-9-27
CSE0000608,Deutsche Bank,2024-12-10
CSE0000609,Sears Roebuck,2019-8-12
CSE0000610,Future Bright Group,2018-1-2
CSE0000611,Nissho Iwai,2022-4-3
CSE0000612,Nortel Networks,2021-7-12
CSE0000613,ABN AMRO Holding,2021-12-5
CSE0000614,Sumitomo,2017-7-30
CSE0000615,American International Group,2022-7-4
CSE0000616,Berkshire Hathaway,2022-9-2
CSE0000617,TIAA-CREF,2022-8-22
CSE0000618,Netease,2019-8-28
CSE0000619,Enron,2019-10-14
CSE0000620,Hitachi,2019-2-16
CSE0000621,Crижdit Agricole,2017-11-24
CSE0000622,Boeing,2017-10-24
CSE0000623,Pfizer,2016-6-26
CSE0000624,Reliant Energy,2018-10-26
CSE0000625,Foxconn,2018-6-22
CSE0000626,Unilever,2017-3-23
CSE0000627,UBS,2024-7-6
CSE0000628,WorldCom,2023-4-28
CSE0000629,Netease,2020-6-23
CSE0000630,Prudential,2024-8-12
CSE0000631,Samsung,2019-12-27
CSE0000632,Ing Group,2024-10-17
CSE0000633,Nippon Life Insurance,2023-11-16
CSE0000634,Chevron,2025-2-2
CSE0000635,BASF,2021-8-2
CSE0000636,Foxconn,2023-9-30
CSE0000637,Enron,2019-3-4
CSE0000638,Berkshire Hathaway,2017-9-3
CSE0000639,Electricite De France,2022-1-2
CSE0000640,Kroger,2021-1-2
CSE0000641,WorldCom,2016-9-19
CSE0000642,NEC,2024-2-11
