product code,product model,unit price
C2056I7,Cabinet07,138
C634K72,CashRegister62,390
K62879Z,KeyboardAndMouseSet90,185
W318D96,Walkie-Talkie31,426
I41V392,InkCartridgeO9,20
H7143H9,HotPotJ2,310
MM72065,MultiplexerL4,263
S2180L4,SerialCommunicationServerE9,150
F9N8470,FocusingScreenP9,410
AA85346,All-In-OnePrintingMachine57,440
I436H05,InternetLivingRoomFitnessW4,570
V968Q15,VideoGameControllerZ5,550
A273M51,Anti-SlipMobilePhone87,690
M2348K0,MobileHardDisk42,110
MR46392,MobilePhone56,410
T75D268,TripodF5,188
M4Y8765,MultimediaSoftwareA8,145
B830R57,BarcodeAndCardReadingEquipment27,800
N62Z458,NotebookAccessories20,520
V6Q9754,VoiceRecording38,310
R243J08,RemoteControlJ8,200
FC40169,FunctionServerO8,440
T35X601,ToiletSeatO7,630
PY35974,PrintMedia70,30
M5809H7,MotherboardP7,454
H7Y6824,Hand-HeldGamingDeviceN2,470
M108M47,Micro-WaveOvenJ2,250
L17546O,LaptopDockingStationQ9,3778
A50L172,Air-ConditioningFan21,600
L0528N6,LaminatorMoDriveP4,700
M97X845,MobilePowerO4,290
T9T8140,ToasterElectricOvenX4,480
S86042Z,SecurityCameraS5,160
H64578X,HeatSink10,800
L29837Y,LaserPointersAndPresentersE8,430
C78629B,CdPrintRecorder59,21
P4052D1,PhotoBox56,910
S2180L4,SerialCommunicationServerP5,800
R5F0782,Router92,228
P4052D1,PhotoBox60,300
R54810N,Repeater97,123
F24170J,FruitAndVegetableWashingMachineL2,490
D7903R1,DiskArray57,380
S15H647,SurveillanceAroundN5,150
T38951Z,TabletCase05,564
N89L425,NetworkCardZ5,920
W05C734,WaterDispenserO9,690
P7604Q5,Pbx69,946
IZ80719,IntranetSecurityNetworkVulnerabilityScanningP0,160
V6Q9754,VoiceRecordingL5,430
D0Q2543,DesktopPcZ6,920
I79Y023,InfraredAdapterS3,820
B830R57,BarcodeAndCardReadingEquipment70,630
FG91426,FiberEquipment38,310
C7826A5,ComputerRemoteControlG0,790
M79W815,MobilePhoneCarAccessoriesW6,60
CC50327,CentralWaterHeater34,840
SK73928,SurveillanceCaptureCardD5,640
L891S65,LcdTv45,630
P3650F7,PrecisionAirConditioner90,350
G58A216,GasStoves79,210
T540P67,TelephoneConferenceI1,87
B189A57,BluetoothAdapterP2,170
C98142A,CameraRemoteO4,400
C2F0671,Cd49,35
P4052D1,PhotoBox94,10
M328K91,Monitor57,224
D8560Q1,DigitalCamera85,970
D7903R1,DiskArrayM7,990
F6L2495,FlashCardU8,181
B830R57,BarcodeAndCardReadingEquipment71,960
SY73215,SteeringWheel71,210
CS90168,CustomerManagementSoftwareCrm36,650
S8465W1,SolarWaterHeaters12,820
FG91426,FiberEquipmentH6,190
L891S65,LcdTvG1,150
P41857Y,PhysicalSecurityIsolation71,620
C78629B,CdPrintRecorderL8,40
C1F0953,ComputerFingerprintEncryptionLockE3,100
L0X9362,LaserPrinterT5,810
SW03642,SoyMilkMachineM1,220
C45R631,CodecH2,106
P8130N9,PrinterH8,139
E6N2308,ElectronicDictionary67,570
R796N84,RangeHoodC9,1000
CY08734,CursorMarkingMachineZ7,610
TU23769,Telescope03,298
K62879Z,KeyboardAndMouseSetF3,156
M97X845,MobilePowerK1,950
H7Y6824,Hand-HeldGamingDeviceO6,840
M79W815,MobilePhoneCarAccessories21,420
S2501J4,ServerHardDriveB3,1424
BP82450,BillingSystemC5,860
C37A594,CameraBagI1,364
CY08734,CursorMarkingMachine84,790
DB83217,DisinfectionCabinetQ0,780
R58049A,ReadingMachineQ3,880
E4280M5,EpilatorO0,171
L17546O,LaptopDockingStation94,1738
M62870K,Massager63,194
L60241X,LabelPrinterA6,600
W318D96,Walkie-TalkieI5,248
C186H47,ConnectingLine29,200
L47869Q,LightningProtectionProductsE4,730
F76983D,FlashAccessories76,106
S6I1543,SoftwareEncryptionI2,320
B239N58,BuildingIntercom95,910
G80142H,GameConsoleBatteryZ5,850
T35X601,ToiletSeat05,10
A02N847,AudioAndVideoCableP6,230
H089L35,HoodX9,74
P15647X,PlasmaTv10,880
F790I64,FlashU8,100
L47869Q,LightningProtectionProductsV0,820
R5F0782,RouterB5,330
UL87156,UpsPowerShredderJ5,630
P56U187,PowerAmplifierA3,280
L0528N6,LaminatorMoDrive12,630
M85D039,MonitorO3,110
CN93120,ChassisZ1,116
L0X9362,LaserPrinterC5,550
N62Z458,NotebookAccessories35,410
SK73928,SurveillanceCaptureCardO3,240
C367T20,CommunicationSoftware60,560
H7143H9,HotPotI6,120
CY08734,CursorMarkingMachine03,780
S92348F,ServerAccessories38,758
WC49732,WirelessHdS0,830
A37260X,Anti-TheftAlarmHost87,140
S86042Z,SecurityCamera42,220
S86042Z,SecurityCamera25,650
E895N12,Earphone27,74
S6I1543,SoftwareEncryption06,850
P6O1843,Pager17,63
O9F4205,OfficeEquipmentAccessoriesI1,720
A08264O,AntivirusAndEmailFilteringE7,980
M8I1749,Monocular54,498
SR61908,SaasSoftwareY1,670
D8150P6,DotMatrixPrinterK1,110
T7E2913,TollMachine62,280
H362I81,HairDryerX7,760
CZ28413,CarEquipment35,730
L0528N6,LaminatorMoDrive26,410
D68950Z,DigitalFrameE7,900
V6Q9754,VoiceRecordingR0,640
P09Y825,PocketPc54,650
D0W8356,DigitalMobileTvH2,870
M48J309,MailServerSoftware74,770
W49310P,WirelessNetworkCardN4,380
C8739R1,CallCenterC9,150
L891S65,LcdTvS3,520
S0912X5,Server40,1400
P1275R8,PrintServerV0,30
K7458M2,Keyboard28,114
R243J08,RemoteControl83,460
H7Y6824,Hand-HeldGamingDeviceR5,310
GC81302,GasWaterHeaterN7,220
T67P542,TvBaseT6,300
O9F4205,OfficeEquipmentAccessories24,720
T28310Y,TvHanger69,300
L8N0649,LaptopC6,1242
M859T76,ModularInterfaceCardHub47,700
E738Y40,ElectricToothbrushX5,410
A35J746,AirConditioner71,500
D265U39,DyeSublimationPrinterW3,260
L8N0649,Laptop78,8566
S8465W1,SolarWaterHeatersU5,520
C741G20,CardReader59,920
SW03642,SoyMilkMachine50,670
T75D268,Tripod50,120
C634K72,CashRegisterM3,270
F40365I,FiberOpticCable39,910
M8I1749,MonocularY1,325
I1M6430,ImageSoftwareTypesettingSoftwareC6,350
A58192Z,AccessControlMachineK1,320
F6L2495,FlashCard87,98
A273M51,Anti-SlipMobilePhoneP9,820
H5684K7,HardDiskA7,500
BE04182,BindingMachineM0,120
I53862I,IntegratedWiringZ2,30
D0W8356,DigitalMobileTvZ2,380
P1275R8,PrintServer04,150
MR46392,MobilePhone49,340
P7604Q5,Pbx06,1115
CM46520,CableAdapterCardN9,195
I072X68,IndustrialNetworkSwitchA7,550
O8C6513,OfficeSoftwareT1,40
H9842K1,HardDisk52,100
R58049A,ReadingMachine54,690
G21467A,Gps07,481
C78629B,CdPrintRecorder13,24
S7Z8134,ServerChassisH9,937
L903I17,LensCapU7,177
N62Z458,NotebookAccessoriesA7,570
E7R6098,E-BookD6,75
T035M47,TabletU8,787
P45Q120,PhotocopyingMachineS8,230
M97X845,MobilePower20,40
UL87156,UpsPowerShredderT7,270
M6328D7,MouseB8,55
S7Z8134,ServerChassis79,1275
C9520Y6,ColdLaminator63,830
I357B21,InternetBehaviorManagement96,950
S6I1543,SoftwareEncryptionY3,340
B189A57,BluetoothAdapter64,300
E4280M5,Epilator24,154
AU79605,AntennaSystem39,470
UL87156,UpsPowerShredder19,60
M40V792,MobilePhoneChargerF9,10
C95F078,CasetteLibraryT2,430
D0W8356,DigitalMobileTvO8,290
FG91426,FiberEquipmentC4,160
O8C6513,OfficeSoftware20,830
CC50327,CentralWaterHeaterV6,120
L47869Q,LightningProtectionProducts26,30
A794O23,AdapterRing70,350
A37260X,Anti-TheftAlarmHost23,220
P09Y825,PocketPcN8,730
T9T8140,ToasterElectricOvenB8,560
DR28405,DatabaseSoftware09,180
BP82450,BillingSystemI2,660
PI37560,PowerLineCommunicationEquipmentZ2,640
R39U102,RefrigeratorZ7,1019
MG73026,MobilePhoneCompanion86,300
R796N84,RangeHood35,350
A08264O,AntivirusAndEmailFiltering70,880
S03485W,SoundCard61,30
C58G293,CameraFilm45,340
M9P8604,MobilePhoneStylus63,690
D0Q2543,DesktopPc74,890
TF15948,Toner79,99
C2B7139,CentralControlSystemO7,650
G071O86,GameMachineWire98,430
W1473B8,WaterHeater40,60
V5W8496,VacuumCleaner90,510
C367T20,CommunicationSoftware34,850
SY73215,SteeringWheel49,240
L891S65,LcdTvV7,930
CS90168,CustomerManagementSoftwareCrm49,210
C634K72,CashRegister74,560
C741G20,CardReaderQ0,240
F9N8470,FocusingScreenU8,520
D0Q2543,DesktopPcP3,790
C46258Y,CleaningAndMaintenanceY4,610
R6K1395,RamY9,66
H089L35,Hood15,37
L8930C4,LaptopDisplayF0,638
A58192Z,AccessControlMachineY2,510
D1G4290,Digitizer56,357
D1G4290,Digitizer54,253
D7Y5182,DestroyEquipment65,980
AE91287,ApplicationSupervision29,890
MR92570,MicrophoneDigitalCompanion60,950
G427L06,GameConsoleFilmN3,10
S5291W4,ServerPower40,614
M489T70,MousePad98,51
SR61908,SaasSoftware94,640
TO87603,TvPlayer60,80
ML18593,Minicomputer24,984
L17546O,LaptopDockingStationF9,553
LO12047,LensD7,253
P1275R8,PrintServer18,770
W08294X,WashingMachine56,420
WJ50817,WirelessAccessPoint23,370
G053V91,GameLightGunGamePeripheralL5,250
S8104Z6,Speaker30,110
CZ28413,CarEquipment85,990
E895N12,EarphoneV5,91
AE80564,AirPurifierV6,100
CY08734,CursorMarkingMachineR0,790
PY35974,PrintMediaD1,310
EE05684,ElectricIronB1,680
GS13927,GamePackW4,320
I8206B5,InductionCookerD2,120
I1M6430,ImageSoftwareTypesettingSoftware28,890
EE05684,ElectricIron24,550
AA85346,All-In-OnePrintingMachineW9,420
D230D47,DishwasherM7,757
E7R6098,E-Book16,81
LO12047,LensQ4,232
W49310P,WirelessNetworkCardL1,610
H18Z450,HardDiskExtractionBoxA4,880
W1473B8,WaterHeater94,880
L7B6430,Laptop'SBatteryT2,310
HD86793,HumidifierE8,220
RC12709,ReceiptPrinter76,400
L85R920,LoadBalancingK8,20
SY73215,SteeringWheelI5,310
OP18549,OpticalTransceiver46,990
SE17564,ServerBarebonesM0,711
A50L172,Air-ConditioningFan79,480
I94V518,IndustrialControlEquipment60,620
TI26891,TeachingSoftware73,210
H64578X,HeatSink95,520
C48967S,ChargerD9,73
S92348F,ServerAccessories10,956
T0X9417,TelephoneU9,104
P3650F7,PrecisionAirConditionerG9,940
A31Y204,AllInOneComputerT0,840
VM86749,ViewfinderL1,167
I36Z941,ImageAlarm30,150
P968H24,PowerSupply63,600
T0829X7,TonerCartridgeH6,93
O032T69,OnlineTelephone15,180
MM72065,Multiplexer89,240
C2056I7,CabinetS3,245
C2F0671,CdX0,13
S2180L4,SerialCommunicationServer64,460
C98142A,CameraRemoteK4,920
D8150P6,DotMatrixPrinter76,190
C1F0953,ComputerFingerprintEncryptionLock04,370
T67P542,TvBase65,600
L29837Y,LaserPointersAndPresentersV2,480
TU23769,TelescopeL9,458
T739U65,TapeDrives59,87
D7903R1,DiskArray38,60
P02C741,PaperCutterV5,190
LO12047,LensI9,200
SE17564,ServerBarebonesT3,1000
WC49732,WirelessHdX1,510
C741G20,CardReaderQ9,760
C58G293,CameraFilmQ3,273
W9718W3,Workstation06,1177
C6C1349,CoffeeMachineL7,280
F6L2495,FlashCard95,168
N2364L9,NetworkManagementAndBackupSoftwarevirtualizationSoftware51,100
C04R672,Converter21,239
R81O564,RadioYogurtMakerP4,810
O853L07,OtherAccessoriesQ9,540
P56U187,PowerAmplifierJ9,380
S93N807,SpeakerAccessories69,54
OP18549,OpticalTransceiver15,420
L47869Q,LightningProtectionProductsD6,520
M4329T8,Multimedia39,259
R81O564,RadioYogurtMakerR4,180
C7826A5,ComputerRemoteControl02,640
A35J746,AirConditioner38,760
P41857Y,PhysicalSecurityIsolationN5,260
G9372K0,GameChargerN0,280
T0E9518,Tester74,94
R7248S9,RecordingPenR9,280
W52V643,WirelessNetworkCard58,1000
SR61908,SaasSoftwareK7,970
MC32085,MoneyCounter63,150
V0W6342,VideoServerD1,880
G071O86,GameMachineWire89,570
V56301I,VideoCaptureCard83,440
H7Y6824,Hand-HeldGamingDeviceD7,210
I36Z941,ImageAlarmA1,410
W49310P,WirelessNetworkCardX4,350
M328K91,Monitor84,293
S36N209,Ssd50,276
OP18549,OpticalTransceiver76,720
H362I81,HairDryer59,850
TU23769,Telescope92,191
U198C32,UDiskK0,660
T1R9247,TvWallQ1,520
A4A8763,AttendanceMachine76,390
R54810N,Repeater18,200
F8E7125,FaxMachineCopierD4,170
M328K91,MonitorF1,428
CN93120,Chassis83,121
C46258Y,CleaningAndMaintenanceE5,810
D0Q2543,DesktopPc78,260
B306F21,Barebones71,836
PI37560,PowerLineCommunicationEquipment94,320
E8T2037,ElectricHeaterP7,890
HD86793,HumidifierY5,101
C2B7139,CentralControlSystemU8,470
G9372K0,GameChargerA5,490
G9372K0,GameChargerK2,910
S0912X5,Server43,591
C96H382,Cluster15,377
SB01298,Scanner21,205
P02C741,PaperCutter65,780
T9508D4,TrafficManagementN0,620
T9T8140,ToasterElectricOven06,620
T67P542,TvBaseP0,50
SR61908,SaasSoftwareE0,300
I36Z941,ImageAlarm41,160
DB83217,DisinfectionCabinetX2,750
